benchmark,hostname,num_procs,oversubscribed,avg_time,std_dev
count_primes, Celeste, 4, 0, 1.960085e-04, 1.355614e-05
count_primes, Celeste, 4, 0, 1.984458e-04, 1.151648e-05
count_primes, Celeste, 4, 0, 2.013663e-04, 1.131016e-05
count_primes, Celeste, 4, 0, 1.982550e-04, 1.222151e-05
count_primes, Celeste, 4, 0, 1.981787e-04, 1.071575e-05
count_primes, Celeste, 4, 0, 1.982454e-04, 1.280680e-05
count_primes, Celeste, 4, 0, 1.990597e-04, 1.182426e-05
count_primes, Celeste, 6, 0, 2.155294e-04, 4.318951e-06
count_primes, Celeste, 6, 0, 2.162784e-04, 4.661186e-06
count_primes, Celeste, 6, 0, 2.176546e-04, 8.567544e-06
count_primes, Celeste, 6, 0, 2.160108e-04, 3.726803e-06
count_primes, Celeste, 6, 0, 2.157999e-04, 3.975580e-06
count_primes, Celeste, 6, 0, 2.157195e-04, 4.802737e-06
count_primes, Celeste, 6, 0, 2.163248e-04, 3.686813e-06
count_primes, Celeste, 6, 0, 2.165309e-04, 3.684446e-06
count_primes, Celeste, 8, 1, 2.267812e-04, 4.676952e-06
count_primes, Celeste, 8, 1, 2.245550e-04, 2.718229e-06
count_primes, Celeste, 8, 1, 2.244721e-04, 2.387367e-06
count_primes, Celeste, 8, 1, 2.244315e-04, 2.236740e-06
count_primes, Celeste, 8, 1, 2.245417e-04, 2.399736e-06
count_primes, Celeste, 8, 1, 2.244401e-04, 2.381812e-06
count_primes, Celeste, 8, 1, 2.245971e-04, 2.374517e-06
count_primes, Celeste, 8, 1, 2.244086e-04, 2.538908e-06
count_primes, Celeste, 16, 1, 7.415137e-04, 8.001474e-05
count_primes, Celeste, 16, 1, 7.445751e-04, 7.628907e-05
count_primes, Celeste, 16, 1, 7.551289e-04, 9.250865e-05
count_primes, Celeste, 16, 1, 7.542491e-04, 7.212640e-05
count_primes, Celeste, 16, 1, 7.526349e-04, 7.933832e-05
count_primes, Celeste, 16, 1, 7.552430e-04, 1.003671e-04
count_primes, Celeste, 16, 1, 7.441792e-04, 9.805865e-05
count_primes, Celeste, 16, 1, 7.449581e-04, 7.170135e-05
count_primes, Celeste, 24, 1, 4.525828e-04, 7.258732e-05
count_primes, Celeste, 24, 1, 4.828951e-04, 1.908193e-04
count_primes, Celeste, 24, 1, 4.451985e-04, 6.489127e-05
count_primes, Celeste, 24, 1, 4.523941e-04, 7.629557e-05
count_primes, Celeste, 24, 1, 4.551392e-04, 7.989161e-05
count_primes, Celeste, 24, 1, 4.638172e-04, 8.515395e-05
count_primes, Celeste, 24, 1, 4.422230e-04, 7.084398e-05
count_primes, Celeste, 24, 1, 4.389024e-04, 6.307223e-05
count_primes, Celeste, 32, 1, 1.243612e-03, 1.076292e-04
count_primes, Celeste, 32, 1, 1.246723e-03, 1.200539e-04
count_primes, Celeste, 32, 1, 1.258127e-03, 1.198368e-04
count_primes, Celeste, 32, 1, 1.251889e-03, 1.210329e-04
count_primes, Celeste, 32, 1, 1.256705e-03, 1.208801e-04
count_primes, Celeste, 32, 1, 1.243832e-03, 9.823624e-05
count_primes, Celeste, 32, 1, 1.306714e-03, 2.726141e-04
count_primes, Celeste, 32, 1, 1.255209e-03, 1.246468e-04
count_primes, Celeste, 64, 1, 2.354686e-03, 1.320119e-04
count_primes, Celeste, 64, 1, 2.356599e-03, 1.825116e-04
count_primes, Celeste, 64, 1, 2.356825e-03, 1.414023e-04
count_primes, Celeste, 64, 1, 2.351394e-03, 1.298833e-04
count_primes, Celeste, 64, 1, 2.373036e-03, 1.483031e-04
count_primes, Celeste, 64, 1, 2.369555e-03, 1.525777e-04
count_primes, Celeste, 64, 1, 2.368898e-03, 1.342329e-04
count_primes, Celeste, 64, 1, 2.355678e-03, 1.560359e-04
count_primes, Celeste, 128, 1, 6.716049e-03, 1.260676e-03
count_primes, Celeste, 128, 1, 6.611762e-03, 1.123441e-03
count_primes, Celeste, 128, 1, 7.067451e-03, 2.102196e-03
count_primes, Celeste, 128, 1, 7.055700e-03, 2.050029e-03
count_primes, Celeste, 128, 1, 6.929714e-03, 1.886014e-03
count_primes, Celeste, 128, 1, 6.683076e-03, 1.606831e-03
count_primes, Celeste, 128, 1, 6.267178e-03, 5.513246e-04
count_primes, Celeste, 128, 1, 6.582186e-03, 1.399315e-03
all_to_all, leda, 1, 0, 1.499990e-07, 8.974566e-09
all_to_all, leda, 1, 0, 1.230775e-07, 5.172133e-09
all_to_all, leda, 1, 0, 1.200462e-07, 8.455578e-10
all_to_all, leda, 1, 0, 1.201115e-07, 8.969018e-10
all_to_all, leda, 1, 0, 1.202262e-07, 8.717639e-10
all_to_all, leda, 1, 0, 1.201231e-07, 7.370908e-10
all_to_all, leda, 1, 0, 1.201352e-07, 7.300044e-10
all_to_all, leda, 1, 0, 1.200322e-07, 8.966053e-10
count_primes, leda, 1, 0, 1.595479e-04, 1.544425e-06
count_primes, leda, 1, 0, 1.591866e-04, 2.942629e-07
count_primes, leda, 1, 0, 1.592990e-04, 4.228990e-07
